@relation sentiment

@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute feat20 numeric
@attribute class {0, 4}

@data
1,2,1,0,0,0,0,0,0,0,1,3,0,2,0,0,0,9.50,4.94,2,0
0,0,2,2,0,0,2,0,0,0,0,8,0,1,0,0,0,8.67,3.80,3,0
1,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,15.00,3.75,1,0
0,0,0,0,0,0,0,0,0,0,1,5,0,4,1,0,0,7.00,3.26,3,0
0,0,0,1,2,0,1,0,0,0,0,5,1,1,3,0,0,27.00,4.28,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.00,4.33,1,0
0,0,0,0,1,0,0,0,0,0,0,5,2,2,1,0,0,7.50,3.92,4,0
1,1,0,0,1,0,2,1,0,0,0,5,2,2,0,1,0,13.00,3.77,2,0
2,0,0,1,1,0,2,0,0,0,0,3,0,1,0,0,0,19.00,3.76,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,4.00,1,0
3,0,0,1,2,0,0,0,1,2,0,7,1,4,0,0,0,8.00,3.48,4,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5.00,4.40,1,0
0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4.33,4.60,3,0
2,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,21.00,3.70,1,0
1,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,10.00,3.56,1,0
0,1,0,1,0,0,0,1,0,2,0,5,5,0,0,0,0,13.50,4.95,2,0
1,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,9.00,5.22,1,0
0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,1,0,14.00,4.38,1,0
0,0,1,0,0,0,1,0,0,0,0,7,0,1,0,0,0,7.67,4.25,3,0
2,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,8.50,3.80,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.00,5.00,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.00,5.25,1,0
2,0,2,2,1,0,0,0,0,0,0,8,0,1,1,0,0,31.00,3.39,1,0
0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11.00,4.00,1,0
0,1,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,5.75,3.68,4,0
1,4,0,2,2,0,0,0,0,0,0,8,0,2,2,0,0,9.33,3.88,3,0
1,0,0,1,0,0,0,0,0,0,0,6,0,3,1,0,0,4.75,4.73,4,0
2,0,1,1,1,0,0,0,1,0,0,9,0,1,0,0,0,15.50,3.68,2,0
0,1,0,0,1,0,0,0,0,0,0,10,0,1,0,2,2,8.00,4.73,3,0
0,1,0,1,1,0,0,0,1,0,0,3,0,3,1,0,0,9.50,3.38,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,8.00,5.43,1,0
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.50,4.12,2,0
0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,8.00,3.71,2,0
2,0,0,0,0,1,0,0,0,0,2,3,3,3,0,0,0,6.25,3.91,4,0
